92034,NexGen Office Integrated Accounting,,,Software,TRUE,,
,NexGen Office Link to Batcher,,,Software,TRUE,,
124326,NexGen Office Loadout Module,,,Software,TRUE,,
92035,NexGen Office Manual Accounting,,,Software,TRUE,,
92028,NexGen Office Multi-Level Pricing,,,Software,TRUE,,
124776,NexGen Office Phone App,,,Software,TRUE,,
92045,NexGen Office PO Module,,,Software,TRUE,,
92029,NexGen Office Pre-Order,,,Software,TRUE,,
92038,NexGen Office Receiving,,,Software,TRUE,,
118617,NexGen Office Soft Client,,,Software,TRUE,,
92025,NexGen Office Split Ownership,,,Software,TRUE,,
92046,NexGen Office VFD Module,,,Software,TRUE,,
,Kiosk Web App,,,Software,TRUE,,
93528,CHiToE,,,Software,TRUE,,
172342,NexGen Liquid Controller,,,Software,TRUE,,
111266,NexGen Controller,,,Software,TRUE,,
122913,Loadout Module (NexGen Batching Software),,,Software,TRUE,,
,Loadout NexGen Whiteboard (No Scale),,,Software,TRUE,,
171629,Loadout NexGen Whiteboard/Compartmentalized (No Scale),,,Software,TRUE,,
171630,Loadout NexGen Whiteboard/Compartmentalized LO with Lorry/Shuttle Conveyor Scale Interface (Hybrid Loadout),,,Software,TRUE,,
169023,Loadout NexGen Whiteboard/Compartmentalized with Scale (Manual),,,Software,TRUE,,
169024,Loadout NexGen Whiteboard/Compartmentalized with Truck Scale Interface (Fully Automated),,,Software,TRUE,,
,MILC Interface,,,Software,TRUE,,
